date,store_id,item_id,cat_id,dept_id,actual,forecast
2016-04-25,CA_1,FOODS_1_001,FOODS,FOODS_1,2.0,0.97575116
2016-04-26,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.98244166
2016-04-27,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.9677486
2016-04-28,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.9396888
2016-04-29,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.8533267
2016-04-30,CA_1,FOODS_1_001,FOODS,FOODS_1,1.0,0.9073583
2016-05-01,CA_1,FOODS_1_001,FOODS,FOODS_1,1.0,1.2799567
2016-05-02,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,1.0141586
2016-05-03,CA_1,FOODS_1_001,FOODS,FOODS_1,6.0,0.7562424
2016-05-04,CA_1,FOODS_1_001,FOODS,FOODS_1,1.0,0.9977971
2016-05-05,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.93367
2016-05-06,CA_1,FOODS_1_001,FOODS,FOODS_1,3.0,0.94817615
2016-05-07,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,1.3461494
2016-05-08,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,1.3106532
2016-05-09,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.950912
2016-05-10,CA_1,FOODS_1_001,FOODS,FOODS_1,2.0,0.84965336
2016-05-11,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.867572
2016-05-12,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.84026897
2016-05-13,CA_1,FOODS_1_001,FOODS,FOODS_1,2.0,0.84596413
2016-05-14,CA_1,FOODS_1_001,FOODS,FOODS_1,3.0,1.2884146
2016-05-15,CA_1,FOODS_1_001,FOODS,FOODS_1,1.0,1.2733086
2016-05-16,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,1.0161994
2016-05-17,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.82687634
2016-05-18,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.72449666
2016-05-19,CA_1,FOODS_1_001,FOODS,FOODS_1,1.0,0.67848873
2016-05-20,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.85764605
2016-05-21,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,1.00752
2016-05-22,CA_1,FOODS_1_001,FOODS,FOODS_1,0.0,0.9437837
2016-04-25,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.4063872
2016-04-26,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.39702252
2016-04-27,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.38137323
2016-04-28,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.3640063
2016-04-29,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.34217972
2016-04-30,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.45957077
2016-05-01,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.56528634
2016-05-02,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.3937286
2016-05-03,CA_1,FOODS_1_002,FOODS,FOODS_1,3.0,0.4216775
2016-05-04,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.5490294
2016-05-05,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.4893665
2016-05-06,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.51364535
2016-05-07,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.75642735
2016-05-08,CA_1,FOODS_1_002,FOODS,FOODS_1,2.0,0.7306904
2016-05-09,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.6589249
2016-05-10,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.5900376
2016-05-11,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.52068806
2016-05-12,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.519727
2016-05-13,CA_1,FOODS_1_002,FOODS,FOODS_1,2.0,0.62572026
2016-05-14,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.8753512
2016-05-15,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.76101935
2016-05-16,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.5488023
2016-05-17,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.5275067
2016-05-18,CA_1,FOODS_1_002,FOODS,FOODS_1,1.0,0.5416578
2016-05-19,CA_1,FOODS_1_002,FOODS,FOODS_1,0.0,0.5416578
